egypt,belgium_egypt,columbia_egypt,afghanistan_egypt,deutschland_egypt,north-korea_egypt,lebanon_egypt,uae_egypt,israel_egypt,cuba_egypt,saudi-arabia_egypt,australia_egypt,switzerland_egypt,china_egypt,usa_egypt,palestine_egypt,russia_egypt,ukraine_egypt,iran_egypt,uk_egypt,france_egypt,iraq_egypt
israel,lebanon_israel,australia_israel,afghanistan_israel,saudi-arabia_israel,ukraine_israel,cuba_israel,belgium_israel,uae_israel,uk_israel,north-korea_israel,china_israel,iraq_israel,russia_israel,palestine_israel,egypt_israel,columbia_israel,france_israel,iran_israel,deutschland_israel,usa_israel,switzerland_israel
usa,columbia_usa,russia_usa,france_usa,egypt_usa,iran_usa,ukraine_usa,cuba_usa,palestine_usa,israel_usa,north-korea_usa,lebanon_usa,china_usa,uk_usa,belgium_usa,uae_usa,iraq_usa,deutschland_usa,saudi-arabia_usa,switzerland_usa,afghanistan_usa,australia_usa
